1,1,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
2,1,I contacted the local environmental health board. Waiting to hear back.
3,2,This has been an issue for weeks! Ridiculous!
4,2,This has been cleaned up already.
5,3,I contacted the local environmental health board. Waiting to hear back.
6,3,Saw a few service workers from the parks district cleaning this up today.
7,4,Is this why I've been experiencing headaches and a terrible cough lately?
8,4,This has been an issue for weeks! Ridiculous!
9,5,Saw a few service workers from the parks district cleaning this up today.
10,5,This is a low-income community with a majority of people of color. 
11,6,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
12,6,Is this why I've been experiencing headaches and a terrible cough lately?
13,7,This has been cleaned up already.
14,7,This is a low-income community with a majority of people of color. 
15,8,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
16,8,I contacted the local environmental health board. Waiting to hear back.
17,9,This has been an issue for weeks! Ridiculous!
18,9,This has been cleaned up already.
19,10,I contacted the local environmental health board. Waiting to hear back.
20,10,Saw a few service workers from the parks district cleaning this up today.
21,11,Is this why I've been experiencing headaches and a terrible cough lately?
22,11,This has been an issue for weeks! Ridiculous!
23,12,Saw a few service workers from the parks district cleaning this up today.
24,12,This is a low-income community with a majority of people of color. 
25,13,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
26,13,Is this why I've been experiencing headaches and a terrible cough lately?
27,14,This has been cleaned up already.
28,14,This is a low-income community with a majority of people of color. 
29,15,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
30,15,I contacted the local environmental health board. Waiting to hear back.
31,16,This has been an issue for weeks! Ridiculous!
32,16,This has been cleaned up already.
33,17,I contacted the local environmental health board. Waiting to hear back.
34,17,Saw a few service workers from the parks district cleaning this up today.
35,18,Is this why I've been experiencing headaches and a terrible cough lately?
36,18,This has been an issue for weeks! Ridiculous!
37,19,Saw a few service workers from the parks district cleaning this up today.
38,19,This is a low-income community with a majority of people of color. 
39,20,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
40,20,Is this why I've been experiencing headaches and a terrible cough lately?
41,21,This has been cleaned up already.
42,21,This is a low-income community with a majority of people of color. 
43,22,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
44,22,I contacted the local environmental health board. Waiting to hear back.
45,23,This has been an issue for weeks! Ridiculous!
46,23,This has been cleaned up already.
47,24,I contacted the local environmental health board. Waiting to hear back.
48,24,Saw a few service workers from the parks district cleaning this up today.
49,25,Is this why I've been experiencing headaches and a terrible cough lately?
50,25,This has been an issue for weeks! Ridiculous!
1,26,Saw a few service workers from the parks district cleaning this up today.
2,26,This is a low-income community with a majority of people of color. 
3,27,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
4,27,Is this why I've been experiencing headaches and a terrible cough lately?
5,28,This has been cleaned up already.
6,28,This is a low-income community with a majority of people of color. 
7,29,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
8,29,I contacted the local environmental health board. Waiting to hear back.
9,30,This has been an issue for weeks! Ridiculous!
10,30,This has been cleaned up already.
11,31,I contacted the local environmental health board. Waiting to hear back.
12,31,Saw a few service workers from the parks district cleaning this up today.
13,32,Is this why I've been experiencing headaches and a terrible cough lately?
14,32,This has been an issue for weeks! Ridiculous!
15,33,Saw a few service workers from the parks district cleaning this up today.
16,33,This is a low-income community with a majority of people of color. 
17,34,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
18,34,Is this why I've been experiencing headaches and a terrible cough lately?
19,35,This has been cleaned up already.
20,35,This is a low-income community with a majority of people of color. 
21,36,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
22,36,I contacted the local environmental health board. Waiting to hear back.
23,37,This has been an issue for weeks! Ridiculous!
24,37,This has been cleaned up already.
25,38,I contacted the local environmental health board. Waiting to hear back.
26,38,Saw a few service workers from the parks district cleaning this up today.
27,39,Is this why I've been experiencing headaches and a terrible cough lately?
28,39,This has been an issue for weeks! Ridiculous!
29,40,Saw a few service workers from the parks district cleaning this up today.
30,40,This is a low-income community with a majority of people of color. 
31,41,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
32,41,Is this why I've been experiencing headaches and a terrible cough lately?
33,42,This has been cleaned up already.
34,42,This is a low-income community with a majority of people of color. 
35,43,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
36,43,I contacted the local environmental health board. Waiting to hear back.
37,44,This has been an issue for weeks! Ridiculous!
38,44,This has been cleaned up already.
39,45,I contacted the local environmental health board. Waiting to hear back.
40,45,Saw a few service workers from the parks district cleaning this up today.
41,46,Is this why I've been experiencing headaches and a terrible cough lately?
42,46,This has been an issue for weeks! Ridiculous!
43,47,Saw a few service workers from the parks district cleaning this up today.
44,47,This is a low-income community with a majority of people of color. 
45,48,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
46,48,Is this why I've been experiencing headaches and a terrible cough lately?
47,49,This has been cleaned up already.
48,49,This is a low-income community with a majority of people of color. 
49,50,I also walked by this yesterday--this is a serious public hazard. I fear for the safety of my children.
50,50,I contacted the local environmental health board. Waiting to hear back.
